st,customer lifetime value,response,coverage,education,effective to date,employmentstatus,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type,zone
oregon,7297.687812,no,extended,bachelor,2/23/11,employed,m,24672,suburban,married,93,9.0,44,0.0,9,personal auto,personal l2,offer4,branch,669.6,two-door car,medsize,a,north west
oregon,12731.95161,yes,basic,doctor,1/14/11,employed,m,40870,suburban,married,105,3.0,56,0.0,2,personal auto,personal l3,offer1,agent,504.0,suv,large,a,north west
arizona,5387.40977,no,basic,bachelor,1/17/11,employed,m,97316,urban,married,67,,18,,7,personal auto,personal l3,offer2,branch,309.076476,two-door car,large,,central
nevada,5872.958817,no,basic,college,2/4/11,employed,f,77156,suburban,divorced,73,30.0,39,0.0,7,personal auto,personal l2,offer1,branch,445.817914,four-door car,small,,central
,9029.71466,,extended,bachelor,2/2/11,retired,f,16972,suburban,divorced,125,17.0,89,0.0,5,personal auto,personal l3,offer1,agent,600.0,suv,large,a,
oregon,5718.276608,no,basic,master,1/11/11,employed,m,46133,rural,divorced,73,7.0,78,0.0,5,personal auto,personal l2,offer1,branch,19.626306,four-door car,large,a,north west
nevada,7786.676381,no,extended,college,2/10/11,employed,f,83000,urban,married,97,29.0,76,1.0,6,corporate auto,corporate l2,offer1,branch,378.5566,four-door car,small,a,central
arizona,4247.683347,no,basic,bachelor,1/26/11,employed,m,44537,urban,married,106,13.0,42,0.0,1,corporate auto,corporate l2,offer3,branch,441.907057,sports car,small,,central
washington,4191.966092,no,basic,master,1/29/11,employed,m,77048,rural,married,103,20.0,41,0.0,1,personal auto,personal l1,offer2,agent,141.199465,suv,medsize,,east
oregon,4237.370769,no,basic,bachelor,1/17/11,retired,m,29465,suburban,married,118,24.0,49,1.0,1,personal auto,personal l3,offer1,web,566.4,suv,medsize,a,north west
nevada,4383.150505,no,basic,master,2/10/11,employed,m,84491,rural,single,110,0.0,0,0.0,1,personal auto,personal l1,offer4,agent,156.282093,suv,medsize,a,central
california,4932.878744,no,basic,college,2/6/11,employed,m,74809,urban,married,61,7.0,35,0.0,3,personal auto,personal l2,offer2,branch,283.787384,two-door car,small,a,west region
arizona,2960.567044,no,basic,bachelor,2/20/11,employed,m,92070,suburban,married,74,16.0,1,0.0,1,corporate auto,corporate l2,offer3,branch,368.669336,four-door car,medsize,,central
oregon,21941.85759,no,basic,bachelor,2/20/11,employed,f,26378,rural,married,70,22.0,79,1.0,2,personal auto,personal l3,offer2,branch,147.795699,four-door car,medsize,,north west
washington,2560.082499,no,basic,doctor,1/3/11,employed,f,88059,rural,married,63,15.0,98,0.0,1,personal auto,personal l1,offer4,call center,144.551024,four-door car,small,a,east
oregon,14226.50485,no,premium,high school or below,1/8/11,employed,m,65726,suburban,married,177,35.0,90,0.0,7,corporate auto,corporate l1,offer1,agent,849.6,suv,medsize,a,north west
california,2359.423599,yes,basic,bachelor,1/11/11,disabled,f,19864,suburban,divorced,63,22.0,96,0.0,1,personal auto,personal l2,offer1,web,352.394515,four-door car,medsize,,west region
arizona,5217.513287,yes,basic,bachelor,2/17/11,employed,f,39854,urban,divorced,66,6.0,4,0.0,7,personal auto,personal l3,offer2,web,261.930545,two-door car,medsize,a,central
,4525.365839,,basic,bachelor,1/31/11,medical leave,m,10269,urban,single,65,12.0,5,0.0,3,personal auto,personal l1,offer1,agent,170.798204,two-door car,medsize,,
oregon,4170.687348,yes,basic,master,1/17/11,employed,f,29462,suburban,single,107,28.0,23,1.0,1,personal auto,personal l2,offer2,branch,513.6,suv,large,a,north west
california,30850.58677,no,basic,high school or below,2/8/11,disabled,m,25503,suburban,married,115,12.0,59,0.0,2,personal auto,personal l3,offer2,branch,552.0,suv,medsize,,west region
arizona,5465.603983,no,basic,bachelor,1/31/11,employed,f,54422,rural,married,68,9.0,8,0.0,5,corporate auto,corporate l3,offer1,branch,75.501852,four-door car,medsize,,central
oregon,11196.01927,no,extended,college,1/10/11,employed,f,75457,rural,married,93,0.0,79,0.0,2,personal auto,personal l3,offer1,agent,151.572213,four-door car,medsize,,north west
nevada,4328.373176,no,basic,high school or below,2/14/11,employed,m,72531,suburban,married,109,35.0,20,1.0,1,personal auto,personal l2,offer2,call center,523.2,sports car,medsize,,central
california,5087.015287,no,basic,bachelor,1/11/11,employed,m,22726,suburban,married,65,25.0,73,0.0,3,personal auto,personal l2,offer2,branch,312.0,four-door car,medsize,,west region
oregon,9123.911266,no,basic,bachelor,1/3/11,employed,m,70737,suburban,married,114,25.0,12,0.0,4,corporate auto,corporate l3,offer4,web,741.655597,suv,medsize,a,north west
washington,8927.565817,no,basic,college,2/14/11,medical leave,m,29136,suburban,divorced,118,16.0,72,0.0,9,corporate auto,corporate l1,offer1,agent,566.4,suv,large,,east
arizona,8564.772996,no,premium,bachelor,2/3/11,disabled,m,23506,suburban,single,113,0.0,27,0.0,9,personal auto,personal l3,offer1,branch,813.6,four-door car,medsize,,central
oregon,5514.344018,no,basic,high school or below,1/2/11,employed,f,23218,suburban,single,71,7.0,10,0.0,4,personal auto,personal l2,offer4,agent,447.79344,two-door car,medsize,a,north west
arizona,8382.630118,yes,basic,high school or below,2/4/11,retired,m,19683,suburban,married,117,17.0,41,1.0,9,personal auto,personal l2,offer1,web,561.6,sports car,medsize,a,central
california,5577.942343,no,basic,bachelor,2/18/11,employed,m,70190,rural,single,71,20.0,22,0.0,3,corporate auto,corporate l3,offer1,agent,15.169017,two-door car,medsize,a,west region
california,3821.819872,no,extended,college,1/16/11,employed,f,79189,rural,married,95,20.0,50,0.0,1,corporate auto,corporate l2,offer2,branch,50.171541,two-door car,small,,west region
oregon,7422.186246,no,basic,high school or below,1/18/11,employed,m,23617,suburban,married,189,0.0,47,0.0,1,personal auto,personal l1,offer3,agent,907.2,luxury car,small,a,north west
arizona,7060.212867,no,extended,high school or below,1/27/11,employed,m,85412,rural,divorced,88,33.0,92,0.0,3,personal auto,personal l1,offer1,call center,134.684555,four-door car,medsize,,central
arizona,2912.248444,no,basic,college,1/24/11,employed,f,93403,urban,divorced,73,18.0,32,0.0,1,personal auto,personal l2,offer2,web,295.224598,four-door car,small,a,central
arizona,22185.88045,no,basic,master,2/27/11,employed,f,60426,rural,single,62,0.0,97,0.0,2,corporate auto,corporate l2,offer1,call center,133.284622,two-door car,medsize,a,central
washington,11318.08982,no,extended,college,2/6/11,employed,m,38923,rural,married,99,6.0,83,2.0,2,personal auto,personal l3,offer1,agent,115.728852,four-door car,medsize,a,east
california,38496.94701,no,extended,high school or below,2/2/11,employed,f,48409,urban,single,124,13.0,60,0.0,2,special auto,special l3,offer1,agent,345.211703,suv,medsize,a,west region
arizona,11218.44173,no,extended,high school or below,1/23/11,employed,f,69268,rural,married,93,31.0,20,0.0,2,personal auto,personal l1,offer2,agent,19.170855,two-door car,medsize,a,central
oregon,2574.020376,yes,basic,master,1/14/11,employed,f,34990,rural,single,65,23.0,73,0.0,1,personal auto,personal l3,offer2,web,42.689135,four-door car,medsize,a,north west
oregon,12590.93519,no,premium,college,1/11/11,employed,m,62575,suburban,married,106,5.0,21,0.0,2,personal auto,personal l1,offer2,call center,508.8,two-door car,medsize,,north west
oregon,4165.252177,no,premium,bachelor,1/20/11,employed,m,58299,suburban,married,105,24.0,22,1.0,1,personal auto,personal l3,offer1,branch,504.0,,,,north west
california,31934.62164,no,basic,bachelor,1/6/11,employed,f,56516,suburban,married,199,26.0,46,0.0,2,personal auto,personal l3,offer2,call center,955.2,luxury suv,medsize,,west region
california,7089.046071,no,extended,bachelor,1/10/11,employed,m,28121,suburban,divorced,90,16.0,0,0.0,4,personal auto,personal l1,offer2,agent,432.0,two-door car,medsize,a,west region
oregon,7661.388132,no,extended,bachelor,2/15/11,employed,m,66726,urban,married,97,3.0,60,1.0,7,personal auto,personal l2,offer2,call center,335.840529,two-door car,medsize,,north west
california,2867.312197,yes,extended,bachelor,1/3/11,retired,f,23376,suburban,divorced,78,19.0,18,0.0,1,personal auto,personal l3,offer2,call center,374.4,four-door car,medsize,a,west region
oregon,2551.226692,yes,basic,master,1/19/11,employed,m,79751,suburban,married,63,15.0,67,0.0,1,personal auto,personal l3,offer3,web,392.235698,two-door car,small,a,north west
washington,2577.514741,no,basic,bachelor,2/19/11,employed,f,49467,suburban,divorced,65,1.0,96,0.0,1,personal auto,personal l3,offer1,call center,413.695258,two-door car,small,a,east
washington,8609.158215,yes,basic,bachelor,1/14/11,employed,f,79090,urban,married,107,2.0,74,0.0,3,personal auto,personal l1,offer2,branch,289.040734,suv,medsize,a,east
oregon,7316.650059,no,basic,college,1/2/11,employed,f,30493,rural,married,62,15.0,56,1.0,2,personal auto,personal l3,offer1,branch,108.09413,two-door car,medsize,a,north west
washington,32467.66151,no,premium,doctor,1/16/11,employed,m,37675,suburban,single,104,23.0,18,0.0,2,corporate auto,corporate l3,offer3,agent,731.970027,four-door car,medsize,,east
oregon,5061.180855,no,basic,bachelor,2/14/11,employed,f,59216,urban,married,64,0.0,66,2.0,7,personal auto,personal l3,offer2,branch,200.493214,four-door car,large,,north west
washington,2842.822337,no,basic,doctor,1/4/11,employed,f,43793,rural,married,71,8.0,31,0.0,1,personal auto,personal l2,offer2,agent,16.150175,four-door car,medsize,,east
arizona,13770.97618,yes,premium,high school or below,2/1/11,employed,f,59207,suburban,single,116,,21,,2,personal auto,personal l3,offer1,agent,556.8,four-door car,medsize,,central
california,7535.42519,no,basic,doctor,1/24/11,employed,m,37496,suburban,single,65,1.0,36,0.0,2,corporate auto,corporate l2,offer3,agent,312.0,two-door car,small,a,west region
arizona,14031.70314,no,basic,bachelor,1/8/11,employed,m,58092,urban,married,72,7.0,56,1.0,2,personal auto,personal l2,offer2,branch,202.24202,two-door car,medsize,a,central
arizona,5652.72374,no,basic,high school or below,1/7/11,medical leave,f,16171,urban,married,74,8.0,36,0.0,4,corporate auto,corporate l3,offer1,agent,311.004168,four-door car,medsize,,central
arizona,9339.341599,no,premium,high school or below,2/22/11,employed,m,69442,suburban,married,118,26.0,6,3.0,3,personal auto,personal l1,offer3,branch,1265.570302,four-door car,small,a,central
california,8521.738901,no,premium,high school or below,2/21/11,employed,m,37910,suburban,married,108,7.0,9,0.0,7,personal auto,personal l3,offer1,agent,518.4,four-door car,medsize,a,west region
washington,15695.53941,no,basic,college,1/27/11,employed,m,97750,urban,divorced,65,15.0,51,0.0,2,personal auto,personal l3,offer2,agent,303.002922,four-door car,medsize,a,east
california,3337.980868,no,extended,master,1/15/11,employed,m,60607,urban,married,83,2.0,82,0.0,1,corporate auto,corporate l1,offer2,web,379.583119,four-door car,medsize,a,west region
arizona,5598.273622,no,basic,bachelor,2/9/11,disabled,m,14174,suburban,married,72,1.0,62,0.0,8,personal auto,personal l1,offer1,call center,345.6,four-door car,medsize,,central
oregon,11981.98481,yes,basic,master,1/20/11,retired,f,21514,urban,married,62,0.0,59,0.0,2,corporate auto,corporate l2,offer1,agent,257.248789,two-door car,medsize,,north west
arizona,5318.89664,yes,basic,bachelor,1/12/11,employed,f,25134,suburban,married,67,3.0,0,0.0,6,personal auto,personal l3,offer2,call center,321.6,four-door car,small,a,central
oregon,2889.087654,no,basic,college,2/13/11,employed,f,72075,rural,married,73,32.0,1,2.0,1,special auto,special l3,offer2,web,22.569825,four-door car,medsize,,north west
,7381.914168,,extended,college,2/3/11,employed,m,54878,rural,married,96,,11,,9,personal auto,personal l3,offer3,call center,204.953947,four-door car,medsize,,
arizona,6106.941981,no,extended,bachelor,2/21/11,medical leave,f,16654,suburban,married,79,23.0,31,0.0,7,personal auto,personal l3,offer1,branch,379.2,four-door car,medsize,,central
washington,5970.995737,no,extended,college,1/23/11,employed,m,64008,urban,single,85,9.0,66,5.0,5,personal auto,personal l3,offer3,agent,372.893812,four-door car,medsize,a,east
arizona,7832.569008,no,basic,high school or below,1/9/11,employed,m,34644,suburban,married,66,7.0,36,0.0,2,personal auto,personal l3,offer4,agent,316.8,four-door car,medsize,a,central
oregon,21147.27716,no,extended,bachelor,1/7/11,employed,f,49721,suburban,married,132,18.0,49,0.0,2,corporate auto,corporate l3,offer3,call center,639.971388,sports car,large,a,north west
arizona,7597.910661,no,basic,college,2/4/11,employed,f,49937,urban,married,64,1.0,45,0.0,2,personal auto,personal l2,offer3,web,302.586407,two-door car,medsize,,central
california,3479.760165,no,extended,high school or below,1/8/11,employed,m,35033,suburban,married,87,26.0,53,0.0,1,personal auto,personal l2,offer1,agent,490.638202,two-door car,small,a,west region
california,10960.93667,no,extended,college,2/17/11,employed,f,29815,rural,single,95,35.0,18,0.0,2,personal auto,personal l1,offer4,agent,76.175672,four-door car,medsize,a,west region
oregon,4690.793868,no,premium,bachelor,1/12/11,employed,m,43367,suburban,divorced,118,6.0,20,0.0,1,personal auto,personal l1,offer2,branch,1026.741926,four-door car,medsize,a,north west
california,6685.797205,no,extended,bachelor,2/26/11,employed,f,31517,suburban,married,84,33.0,74,2.0,3,personal auto,personal l3,offer4,agent,604.8,two-door car,small,,west region
washington,2576.513006,no,basic,bachelor,2/24/11,employed,m,37574,suburban,married,66,19.0,14,1.0,1,personal auto,personal l1,offer1,agent,412.101933,two-door car,medsize,,east
oregon,11546.17372,no,extended,master,2/26/11,employed,m,81081,rural,married,96,32.0,34,1.0,2,corporate auto,corporate l2,offer4,call center,206.211089,four-door car,medsize,a,north west
oregon,2672.095756,no,basic,bachelor,2/10/11,employed,m,52822,suburban,married,67,23.0,88,0.0,1,corporate auto,corporate l1,offer1,branch,350.529033,two-door car,small,a,north west
california,19160.98994,yes,extended,master,2/20/11,employed,f,22705,suburban,divorced,239,19.0,59,0.0,7,personal auto,personal l3,offer2,agent,1294.700423,luxury suv,medsize,,west region
washington,8311.854644,no,basic,college,2/27/11,employed,m,44843,urban,single,105,,34,,3,personal auto,personal l2,offer1,branch,391.419263,suv,medsize,,east
arizona,35440.14262,no,basic,college,2/16/11,employed,f,74560,suburban,divorced,110,31.0,20,0.0,2,personal auto,personal l3,offer1,branch,528.0,suv,medsize,a,central
oregon,5420.361822,no,basic,college,1/10/11,employed,m,31614,urban,single,71,26.0,69,0.0,4,personal auto,personal l3,offer2,branch,234.683628,four-door car,medsize,a,north west
california,2227.072755,yes,basic,high school or below,1/5/11,retired,m,27972,suburban,married,61,7.0,38,0.0,1,personal auto,personal l3,offer3,web,292.8,four-door car,medsize,,west region
oregon,4530.530663,no,basic,college,1/21/11,employed,m,34640,urban,married,117,23.0,54,2.0,1,personal auto,personal l2,offer1,call center,466.318191,sports car,medsize,,north west
oregon,9035.671134,yes,premium,high school or below,1/21/11,employed,f,34337,suburban,married,113,20.0,44,0.0,9,personal auto,personal l3,offer2,web,542.4,four-door car,large,,north west
nevada,5728.581037,no,basic,college,1/30/11,employed,f,29730,suburban,married,72,1.0,76,0.0,3,personal auto,personal l1,offer3,branch,463.21435,four-door car,medsize,,central
california,2576.380679,no,basic,bachelor,1/11/11,employed,m,24732,suburban,divorced,67,4.0,49,0.0,1,corporate auto,corporate l3,offer2,branch,321.6,four-door car,small,,west region
oregon,2745.129849,no,basic,college,1/15/11,employed,m,91757,suburban,married,69,29.0,58,1.0,1,personal auto,personal l3,offer2,web,331.2,four-door car,medsize,a,north west
washington,4754.653816,no,basic,college,2/5/11,employed,f,30886,rural,divorced,61,8.0,36,0.0,6,special auto,special l2,offer2,agent,8.315904,four-door car,medsize,a,east
california,7914.82311,no,extended,college,2/9/11,employed,f,77153,urban,married,99,3.0,27,1.0,5,personal auto,personal l3,offer1,branch,355.641958,four-door car,medsize,a,west region
california,18484.80858,no,basic,college,2/11/11,employed,f,36153,urban,married,117,27.0,6,1.0,2,corporate auto,corporate l3,offer2,agent,323.424189,sports car,medsize,a,west region
oregon,14206.98091,no,basic,college,1/14/11,disabled,f,26056,suburban,married,73,17.0,73,0.0,2,personal auto,personal l3,offer1,branch,355.558088,four-door car,medsize,,north west
oregon,3096.511217,yes,extended,college,2/12/11,employed,f,21604,suburban,divorced,79,14.0,28,0.0,1,corporate auto,corporate l2,offer1,branch,379.2,four-door car,medsize,,north west
oregon,7421.593541,no,extended,high school or below,1/10/11,employed,f,47406,urban,married,94,2.0,96,1.0,6,personal auto,personal l3,offer1,agent,287.149807,four-door car,medsize,a,north west
,7792.067056,,basic,master,1/3/11,employed,f,36776,urban,divorced,65,21.0,21,0.0,2,corporate auto,corporate l3,offer1,call center,240.186527,four-door car,medsize,,
,5246.278375,,basic,bachelor,1/21/11,employed,f,28909,suburban,married,66,15.0,66,0.0,8,corporate auto,corporate l1,offer1,agent,456.702735,two-door car,medsize,,
arizona,3337.59441,no,extended,bachelor,1/13/11,employed,f,43510,urban,married,83,8.0,75,0.0,1,personal auto,personal l3,offer3,agent,238.088581,four-door car,medsize,a,central
oregon,2676.867914,no,basic,high school or below,2/4/11,employed,f,54480,suburban,married,67,,91,,1,personal auto,personal l1,offer2,branch,321.6,four-door car,small,,north west
california,2627.831472,no,basic,bachelor,2/11/11,employed,m,31964,rural,married,67,30.0,90,0.0,1,personal auto,personal l2,offer2,web,120.060283,four-door car,medsize,a,west region
arizona,5219.886414,no,basic,bachelor,1/4/11,employed,f,64964,urban,single,66,9.0,84,0.0,5,personal auto,personal l3,offer3,call center,286.967405,four-door car,medsize,,central
oregon,5275.056933,no,extended,high school or below,1/13/11,employed,f,81850,urban,single,132,1.0,75,0.0,1,personal auto,personal l3,offer1,call center,429.860895,sports car,medsize,a,north west
oregon,8717.049833,yes,basic,college,2/14/11,employed,m,83846,suburban,married,74,22.0,94,3.0,2,personal auto,personal l1,offer2,agent,355.2,four-door car,large,,north west
arizona,5570.17755,no,basic,college,1/11/11,disabled,f,22679,suburban,married,72,25.0,32,0.0,4,personal auto,personal l3,offer1,branch,345.6,two-door car,small,,central
oregon,6063.19979,no,extended,college,2/4/11,employed,m,20676,suburban,single,79,,27,,7,personal auto,personal l3,offer3,agent,379.2,four-door car,medsize,,north west
washington,10620.49148,no,basic,college,1/28/11,employed,f,35601,urban,single,69,34.0,15,0.0,2,personal auto,personal l1,offer3,branch,249.803437,four-door car,medsize,a,east
arizona,8060.161694,no,basic,high school or below,1/3/11,employed,m,23671,suburban,divorced,69,32.0,45,0.0,2,personal auto,personal l3,offer1,branch,331.2,four-door car,medsize,,central
oregon,3652.532435,no,extended,high school or below,2/23/11,employed,f,39679,suburban,married,92,2.0,85,0.0,1,personal auto,personal l3,offer2,branch,641.388616,two-door car,medsize,,north west
washington,2764.032126,no,basic,high school or below,1/10/11,employed,f,33837,urban,married,72,29.0,54,4.0,1,corporate auto,corporate l2,offer1,branch,305.575785,two-door car,medsize,a,east
washington,4089.429492,no,basic,college,2/24/11,employed,m,28506,suburban,married,104,27.0,37,0.0,1,personal auto,personal l1,offer2,agent,499.2,suv,small,,east
california,8736.501241,no,basic,college,2/10/11,employed,f,53173,suburban,single,112,30.0,57,0.0,4,personal auto,personal l1,offer1,call center,1169.409787,suv,medsize,a,west region
california,9029.71466,no,extended,bachelor,2/2/11,retired,f,16972,suburban,divorced,125,17.0,89,0.0,5,personal auto,personal l3,offer1,agent,600.0,suv,large,a,west region
california,8954.840118,no,basic,bachelor,1/31/11,employed,f,97736,rural,married,74,19.0,22,0.0,2,personal auto,personal l2,offer4,agent,60.090984,four-door car,medsize,,west region
california,13046.65319,no,basic,high school or below,1/8/11,employed,m,71024,urban,married,65,,96,,2,corporate auto,corporate l3,offer1,agent,266.640638,four-door car,medsize,,west region
oregon,5817.832355,no,basic,college,1/20/11,employed,f,86824,urban,married,72,1.0,76,0.0,3,personal auto,personal l2,offer1,call center,189.096179,,,a,north west
arizona,9152.489511,no,premium,high school or below,2/21/11,employed,f,60423,rural,married,114,23.0,44,0.0,9,personal auto,personal l3,offer1,call center,137.611531,four-door car,medsize,a,central
arizona,3748.99343,no,extended,high school or below,2/24/11,employed,m,82189,urban,divorced,94,20.0,17,0.0,1,personal auto,personal l3,offer2,web,354.081091,two-door car,medsize,,central
california,6756.062791,no,extended,bachelor,1/31/11,employed,f,46879,urban,married,86,3.0,62,2.0,3,personal auto,personal l3,offer1,agent,324.944098,four-door car,medsize,a,west region
california,13104.30284,no,basic,bachelor,1/26/11,employed,f,30130,suburban,married,110,22.0,12,0.0,2,personal auto,personal l3,offer1,call center,528.0,suv,small,a,west region
california,13406.92021,no,premium,bachelor,1/18/11,employed,f,25048,suburban,married,167,0.0,11,0.0,5,personal auto,personal l1,offer1,agent,801.6,suv,medsize,,west region
california,4794.116328,no,basic,college,2/12/11,employed,f,70012,suburban,married,119,22.0,33,0.0,1,personal auto,personal l3,offer4,agent,755.19863,suv,small,a,west region
california,6545.802896,no,extended,high school or below,1/7/11,employed,m,55366,suburban,divorced,86,11.0,54,2.0,4,personal auto,personal l1,offer3,agent,455.714395,four-door car,medsize,,west region
california,2867.312197,yes,extended,bachelor,1/3/11,retired,f,23376,suburban,divorced,78,19.0,18,0.0,1,personal auto,personal l3,offer2,call center,374.4,four-door car,medsize,,west region
oregon,2806.696138,no,basic,doctor,2/17/11,employed,f,37009,rural,single,71,1.0,45,0.0,1,corporate auto,corporate l2,offer1,branch,145.673348,two-door car,medsize,a,north west
oregon,6515.026481,no,extended,master,2/27/11,employed,m,47259,suburban,married,81,22.0,54,0.0,5,corporate auto,corporate l2,offer1,branch,388.8,four-door car,medsize,,north west
oregon,4666.643522,no,premium,bachelor,2/28/11,employed,m,60466,suburban,married,117,,3,,1,personal auto,personal l3,offer2,agent,784.186389,four-door car,large,a,north west
nevada,2665.222511,no,basic,high school or below,1/9/11,medical leave,m,14315,suburban,married,71,,16,,1,personal auto,personal l1,offer2,branch,511.2,four-door car,medsize,a,central
arizona,2886.232446,no,basic,doctor,2/1/11,employed,m,52972,suburban,single,74,3.0,68,0.0,1,special auto,special l3,offer2,call center,355.2,four-door car,medsize,,central
,2473.368225,,basic,high school or below,1/30/11,disabled,m,13449,suburban,single,68,28.0,13,0.0,1,personal auto,personal l2,offer1,agent,326.4,four-door car,large,a,
arizona,2369.369299,no,basic,bachelor,1/19/11,employed,m,49746,suburban,single,61,5.0,88,0.0,1,personal auto,personal l2,offer2,call center,624.42874,two-door car,small,a,central
california,12694.88894,no,basic,high school or below,1/24/11,employed,f,73274,urban,married,105,6.0,90,0.0,2,corporate auto,corporate l3,offer3,branch,284.211516,suv,medsize,,west region
oregon,2779.85389,no,basic,doctor,1/25/11,employed,f,38893,urban,single,69,12.0,60,0.0,1,personal auto,personal l3,offer1,branch,279.960213,two-door car,medsize,a,north west
nevada,5418.152088,no,basic,college,2/10/11,employed,f,57587,urban,divorced,68,4.0,83,0.0,7,personal auto,personal l2,offer3,agent,257.090387,,,,central
oregon,10594.13249,no,extended,high school or below,1/19/11,employed,m,64669,suburban,married,131,22.0,32,0.0,6,personal auto,personal l3,offer4,call center,628.8,sports car,small,a,north west
california,8302.321168,no,basic,master,2/27/11,employed,m,78032,urban,married,103,8.0,49,0.0,3,corporate auto,corporate l3,offer3,agent,323.607074,suv,small,,west region
nevada,25030.37545,no,extended,high school or below,2/19/11,employed,m,26292,suburban,married,80,1.0,81,2.0,2,personal auto,personal l3,offer3,agent,384.0,two-door car,medsize,a,central
california,27934.62373,no,basic,high school or below,2/17/11,employed,f,76912,rural,married,116,0.0,55,2.0,2,corporate auto,corporate l3,offer4,agent,169.226996,sports car,medsize,a,west region
nevada,5580.960642,no,basic,master,2/16/11,employed,m,25180,urban,married,70,,44,,9,personal auto,personal l2,offer2,branch,235.895575,four-door car,medsize,a,central
california,3781.690691,no,extended,college,2/11/11,employed,m,46573,rural,married,94,26.0,62,0.0,1,personal auto,personal l3,offer3,branch,77.778826,four-door car,medsize,,west region
california,4505.842815,no,basic,master,1/4/11,employed,m,24790,suburban,married,113,4.0,39,0.0,1,personal auto,personal l2,offer3,agent,767.242337,suv,small,a,west region
arizona,4439.677708,no,basic,bachelor,1/26/11,employed,m,75453,rural,married,112,6.0,90,0.0,1,special auto,special l3,offer2,web,163.9498,suv,medsize,a,central
california,10179.71704,yes,premium,bachelor,1/5/11,retired,f,14290,suburban,married,271,20.0,40,0.0,1,personal auto,personal l1,offer1,agent,1300.8,luxury suv,medsize,,west region
california,5556.91458,no,basic,bachelor,1/30/11,medical leave,m,29120,suburban,married,72,31.0,77,0.0,3,corporate auto,corporate l3,offer1,agent,345.6,two-door car,medsize,,west region
,3096.511217,,extended,college,2/12/11,employed,f,21604,suburban,divorced,79,14.0,28,0.0,1,personal auto,personal l3,offer1,branch,379.2,four-door car,medsize,,
california,9337.895228,no,premium,college,2/5/11,employed,f,76381,suburban,married,116,23.0,33,0.0,4,special auto,special l2,offer3,branch,556.8,two-door car,small,,west region
oregon,25581.61014,no,basic,college,1/13/11,employed,m,27961,suburban,married,72,15.0,64,0.0,2,personal auto,personal l3,offer1,agent,345.6,,,a,north west
california,5165.202368,no,extended,master,1/25/11,disabled,f,12904,suburban,married,132,17.0,31,0.0,1,personal auto,personal l2,offer1,agent,633.6,,,,west region
california,3571.82831,no,extended,bachelor,1/9/11,employed,f,74931,urban,divorced,89,13.0,16,0.0,1,personal auto,personal l2,offer1,agent,230.84972,two-door car,large,a,west region
,3351.567048,,extended,bachelor,1/17/11,employed,f,29160,suburban,single,87,25.0,62,0.0,1,personal auto,personal l3,offer2,branch,417.6,two-door car,medsize,a,
arizona,6292.735356,no,extended,bachelor,2/2/11,employed,f,26577,rural,married,79,9.0,40,0.0,7,personal auto,personal l2,offer3,agent,73.719521,four-door car,medsize,a,central
oregon,15428.01044,no,extended,bachelor,2/9/11,employed,f,33879,suburban,married,98,16.0,82,0.0,2,corporate auto,corporate l3,offer1,branch,470.4,two-door car,small,a,north west
washington,3611.183505,no,extended,college,2/21/11,employed,m,63329,suburban,divorced,92,33.0,87,0.0,1,personal auto,personal l3,offer1,web,441.6,four-door car,medsize,,east
arizona,7122.273163,no,extended,college,2/23/11,employed,f,64571,suburban,divorced,89,34.0,91,0.0,6,corporate auto,corporate l3,offer1,call center,452.115601,four-door car,small,a,central
washington,5041.29961,no,basic,bachelor,1/30/11,employed,f,36234,rural,married,63,0.0,44,0.0,5,personal auto,personal l3,offer3,web,113.534474,four-door car,small,,east
california,8364.559003,no,basic,college,1/6/11,employed,m,72117,rural,married,70,1.0,98,0.0,2,personal auto,personal l2,offer4,branch,106.737787,four-door car,medsize,,west region
california,8193.160528,no,basic,college,2/26/11,employed,m,89219,suburban,single,73,12.0,9,4.0,2,personal auto,personal l3,offer2,branch,350.4,four-door car,medsize,,west region
arizona,5837.528088,no,basic,doctor,1/10/11,employed,m,83308,suburban,married,73,3.0,81,1.0,7,personal auto,personal l2,offer3,agent,419.471438,four-door car,medsize,a,central
arizona,5100.737803,no,basic,high school or below,2/12/11,employed,m,41186,urban,single,70,15.0,29,4.0,3,personal auto,personal l3,offer1,agent,242.320409,four-door car,medsize,,central
,2954.387586,,basic,master,1/8/11,employed,f,62461,rural,married,73,15.0,7,0.0,1,personal auto,personal l1,offer2,agent,129.267408,four-door car,small,,
oregon,15114.40241,yes,basic,high school or below,1/19/11,medical leave,f,28513,suburban,married,100,4.0,22,1.0,2,personal auto,personal l1,offer2,call center,480.0,,,,north west
oregon,7980.488637,no,basic,bachelor,1/20/11,employed,m,72734,urban,married,66,7.0,96,0.0,2,personal auto,personal l3,offer4,web,195.218968,two-door car,large,a,north west
arizona,8789.88406,no,basic,master,2/22/11,employed,f,22849,suburban,married,109,5.0,75,0.0,4,personal auto,personal l3,offer1,call center,523.2,sports car,medsize,,central
washington,4529.062612,no,basic,master,2/18/11,employed,f,65134,urban,married,112,28.0,48,0.0,1,personal auto,personal l2,offer4,branch,529.147483,suv,small,,east
